Summary
-------

Measuring unpaused time only

elapsed    56520 ms (0m 56s)
 dfhack     2958 ms (  5.23% of elapsed)


DFHack details
--------------

                       sort.location_selector       53 ms (  2.39% of overlay,   0.09% of elapsed)
                              notes.map_notes       38 ms (  1.71% of overlay,   0.07% of elapsed)
                                    sort.info       16 ms (  0.72% of overlay,   0.03% of elapsed)
                                   sort.world       10 ms (  0.45% of overlay,   0.02% of elapsed)
                              sort.candidates        7 ms (  0.32% of overlay,   0.01% of elapsed)
                          sort.elevate_barony        6 ms (  0.27% of overlay,   0.01% of elapsed)
                                  sort.places        5 ms (  0.23% of overlay,   0.01% of elapsed)
                                    sort.slab        4 ms (  0.18% of overlay,   0.01% of elapsed)

                                    framework     1153 ms ( 51.96% of overlay,   2.04% of elapsed)
                                all subtimers     1066 ms ( 48.04% of overlay,   1.89% of elapsed)
