Summary
-------

Measuring unpaused time only

elapsed   528630 ms (8m 48s)
 dfhack    34977 ms (  6.62% of elapsed)


DFHack details
--------------

                     zone        3 ms (  0.14% of update,   0.00% of elapsed)
                   reveal        3 ms (  0.14% of update,   0.00% of elapsed)
                   stocks        3 ms (  0.14% of update,   0.00% of elapsed)
             infinite-sky        3 ms (  0.14% of update,   0.00% of elapsed)
               forceequip        3 ms (  0.14% of update,   0.00% of elapsed)
                    plant        3 ms (  0.14% of update,   0.00% of elapsed)
            fix-occupancy        3 ms (  0.14% of update,   0.00% of elapsed)
                  dig-now        2 ms (  0.09% of update,   0.00% of elapsed)
                 work-now        2 ms (  0.09% of update,   0.00% of elapsed)
                  liquids        2 ms (  0.09% of update,   0.00% of elapsed)
                 autodump        2 ms (  0.09% of update,   0.00% of elapsed)
               cleanconst        1 ms (  0.05% of update,   0.00% of elapsed)
               xlsxreader        1 ms (  0.05% of update,   0.00% of elapsed)
                   design        1 ms (  0.05% of update,   0.00% of elapsed)
                     sort        1 ms (  0.05% of update,   0.00% of elapsed)
                tiletypes        1 ms (  0.05% of update,   0.00% of elapsed)
              strangemood        1 ms (  0.05% of update,   0.00% of elapsed)

                framework      262 ms ( 12.39% of update,   0.05% of elapsed)
            all subtimers     1853 ms ( 87.61% of update,   0.35% of elapsed)


State change per plugin
-----------------------

             infinite-sky        1 ms (  0.05% of update,   0.00% of elapsed)

                framework     2114 ms ( 99.95% of update,   0.40% of elapsed)
            all subtimers        1 ms (  0.05% of update,   0.00% of elapsed)


Lua timer details
-----------------

                  control-panel/fix/ownership      174 ms ( 44.27% of lua timers,   0.03% of elapsed)
             control-panel/fix/general-strike       57 ms ( 14.50% of lua timers,   0.01% of elapsed)
              control-panel/fix/stuck-worship       43 ms ( 10.94% of lua timers,   0.01% of elapsed)
         control-panel/fix/noexert-exhaustion       42 ms ( 10.69% of lua timers,   0.01% of elapsed)
                 control-panel/fix/engravings       21 ms (  5.34% of lua timers,   0.00% of elapsed)
         control-panel/fix/empty-wheelbarrows       15 ms (  3.82% of lua timers,   0.00% of elapsed)
                control-panel/fix/stuck-squad        5 ms (  1.27% of lua timers,   0.00% of elapsed)
                 control-panel/fix/dead-units        1 ms (  0.25% of lua timers,   0.00% of elapsed)
          control-panel/fix/stuck-instruments        1 ms (  0.25% of lua timers,   0.00% of elapsed)

                                    framework       34 ms (  8.65% of lua timers,   0.01% of elapsed)
                                all subtimers      359 ms ( 91.35% of lua timers,   0.07% of elapsed)


Overlay details
---------------

                                 dig.warmdamp     8770 ms ( 30.13% of overlay,   1.66% of elapsed)
                             gui/notify.panel     3701 ms ( 12.71% of overlay,   0.70% of elapsed)
                 gui/civ-alert.big_red_button     1710 ms (  5.87% of overlay,   0.32% of elapsed)
                          gui/sitemap.toolbar     1525 ms (  5.24% of overlay,   0.29% of elapsed)
                                 hotkeys.menu     1257 ms (  4.32% of overlay,   0.24% of elapsed)
                          dig.asciidesignated      834 ms (  2.86% of overlay,   0.16% of elapsed)
                       suspendmanager.overlay      515 ms (  1.77% of overlay,   0.10% of elapsed)
                       sort.location_selector      410 ms (  1.41% of overlay,   0.08% of elapsed)
                              notes.map_notes      348 ms (  1.20% of overlay,   0.07% of elapsed)
                              confirm.overlay      342 ms (  1.17% of overlay,   0.06% of elapsed)
                          dig.warmdamptoolbar      284 ms (  0.98% of overlay,   0.05% of elapsed)
                        gui/design.dimensions      238 ms (  0.82% of overlay,   0.05% of elapsed)
                                    sort.info      108 ms (  0.37% of overlay,   0.02% of elapsed)
                  buildingplan.mechanism_free       98 ms (  0.34% of overlay,   0.02% of elapsed)
                          sort.elevate_barony       74 ms (  0.25% of overlay,   0.01% of elapsed)
                        gui/design.rightclick       73 ms (  0.25% of overlay,   0.01% of elapsed)
                              sort.candidates       69 ms (  0.24% of overlay,   0.01% of elapsed)
                                  sort.places       65 ms (  0.22% of overlay,   0.01% of elapsed)
                                   sort.world       55 ms (  0.19% of overlay,   0.01% of elapsed)
                                    sort.slab       45 ms (  0.15% of overlay,   0.01% of elapsed)
                         buildingplan.planner       37 ms (  0.13% of overlay,   0.01% of elapsed)
                      gui/mass-remove.toolbar       20 ms (  0.07% of overlay,   0.00% of elapsed)
                        suspendmanager.status       13 ms (  0.04% of overlay,   0.00% of elapsed)
                        suspendmanager.toggle        7 ms (  0.02% of overlay,   0.00% of elapsed)
                       buildingplan.inspector        7 ms (  0.02% of overlay,   0.00% of elapsed)
                           prioritize.enroute        4 ms (  0.01% of overlay,   0.00% of elapsed)
                          zone.animal_actions        1 ms (  0.00% of overlay,   0.00% of elapsed)

                                    framework     8501 ms ( 29.20% of overlay,   1.61% of elapsed)
                                all subtimers    20610 ms ( 70.80% of overlay,   3.90% of elapsed)
