Summary
-------

Measuring unpaused time only

elapsed  2532363 ms (42m 12s)
 dfhack   120705 ms (  4.77% of elapsed)


DFHack details
--------------

                     zone       11 ms (  0.13% of update,   0.00% of elapsed)
                  liquids       11 ms (  0.13% of update,   0.00% of elapsed)
                 showmood       11 ms (  0.13% of update,   0.00% of elapsed)
              changelayer       10 ms (  0.12% of update,   0.00% of elapsed)
                    flows       10 ms (  0.12% of update,   0.00% of elapsed)
                 work-now       10 ms (  0.12% of update,   0.00% of elapsed)
                     sort       10 ms (  0.12% of update,   0.00% of elapsed)
                  dig-now        9 ms (  0.11% of update,   0.00% of elapsed)
                tiletypes        9 ms (  0.11% of update,   0.00% of elapsed)
              strangemood        9 ms (  0.11% of update,   0.00% of elapsed)
                    debug        9 ms (  0.11% of update,   0.00% of elapsed)
             infinite-sky        9 ms (  0.11% of update,   0.00% of elapsed)
                  regrass        9 ms (  0.11% of update,   0.00% of elapsed)
            fix-occupancy        9 ms (  0.11% of update,   0.00% of elapsed)
                  hotkeys        9 ms (  0.11% of update,   0.00% of elapsed)
                    plant        8 ms (  0.10% of update,   0.00% of elapsed)
                    probe        7 ms (  0.09% of update,   0.00% of elapsed)
                getplants        7 ms (  0.09% of update,   0.00% of elapsed)
                   orders        6 ms (  0.07% of update,   0.00% of elapsed)
                     lair        5 ms (  0.06% of update,   0.00% of elapsed)

                framework      905 ms ( 11.05% of update,   0.04% of elapsed)
            all subtimers     7284 ms ( 88.95% of update,   0.29% of elapsed)


State change per plugin
-----------------------

              add-spatter        6 ms (  0.07% of update,   0.00% of elapsed)
                   reveal        2 ms (  0.02% of update,   0.00% of elapsed)
                  dig-now        1 ms (  0.01% of update,   0.00% of elapsed)
                  3dveins        1 ms (  0.01% of update,   0.00% of elapsed)
           suspendmanager        1 ms (  0.01% of update,   0.00% of elapsed)
                 tubefill        1 ms (  0.01% of update,   0.00% of elapsed)
            fix-occupancy        1 ms (  0.01% of update,   0.00% of elapsed)
                autolabor        1 ms (  0.01% of update,   0.00% of elapsed)

                framework     8175 ms ( 99.83% of update,   0.32% of elapsed)
            all subtimers       14 ms (  0.17% of update,   0.00% of elapsed)


Lua timer details
-----------------

                  control-panel/fix/ownership      867 ms ( 45.51% of lua timers,   0.03% of elapsed)
             control-panel/fix/general-strike      272 ms ( 14.28% of lua timers,   0.01% of elapsed)
                 control-panel/fix/engravings      198 ms ( 10.39% of lua timers,   0.01% of elapsed)
         control-panel/fix/noexert-exhaustion      181 ms (  9.50% of lua timers,   0.01% of elapsed)
              control-panel/fix/stuck-worship      103 ms (  5.41% of lua timers,   0.00% of elapsed)
         control-panel/fix/empty-wheelbarrows       76 ms (  3.99% of lua timers,   0.00% of elapsed)
                control-panel/fix/stuck-squad       27 ms (  1.42% of lua timers,   0.00% of elapsed)
          control-panel/fix/stuck-instruments       13 ms (  0.68% of lua timers,   0.00% of elapsed)
                control-panel/fix/dry-buckets        2 ms (  0.10% of lua timers,   0.00% of elapsed)
                 control-panel/fix/dead-units        2 ms (  0.10% of lua timers,   0.00% of elapsed)

                                    framework      164 ms (  8.61% of lua timers,   0.01% of elapsed)
                                all subtimers     1741 ms ( 91.39% of lua timers,   0.07% of elapsed)


Overlay details
---------------

                             gui/notify.panel    19182 ms ( 20.62% of overlay,   0.76% of elapsed)
                                 hotkeys.menu     7676 ms (  8.25% of overlay,   0.30% of elapsed)
                          gui/sitemap.toolbar     7009 ms (  7.53% of overlay,   0.28% of elapsed)
                 gui/civ-alert.big_red_button     5950 ms (  6.39% of overlay,   0.23% of elapsed)
