Summary
-------

Measuring unpaused time only

elapsed   706584 ms (11m 46s)
 dfhack    31856 ms (  4.51% of elapsed)


DFHack details
--------------

             infinite-sky        3 ms (  0.12% of update,   0.00% of elapsed)
                    plant        3 ms (  0.12% of update,   0.00% of elapsed)
              filltraffic        3 ms (  0.12% of update,   0.00% of elapsed)
                     lair        3 ms (  0.12% of update,   0.00% of elapsed)
               stockpiles        3 ms (  0.12% of update,   0.00% of elapsed)
                 pathable        3 ms (  0.12% of update,   0.00% of elapsed)
                cxxrandom        2 ms (  0.08% of update,   0.00% of elapsed)
                 autodump        2 ms (  0.08% of update,   0.00% of elapsed)
                tiletypes        2 ms (  0.08% of update,   0.00% of elapsed)
                    debug        2 ms (  0.08% of update,   0.00% of elapsed)
            fix-occupancy        2 ms (  0.08% of update,   0.00% of elapsed)
             autoclothing        2 ms (  0.08% of update,   0.00% of elapsed)
                 tubefill        2 ms (  0.08% of update,   0.00% of elapsed)
                     zone        2 ms (  0.08% of update,   0.00% of elapsed)
                   orders        1 ms (  0.04% of update,   0.00% of elapsed)
                  regrass        1 ms (  0.04% of update,   0.00% of elapsed)
                    probe        1 ms (  0.04% of update,   0.00% of elapsed)
                  liquids        1 ms (  0.04% of update,   0.00% of elapsed)

                framework      320 ms ( 12.68% of update,   0.05% of elapsed)
            all subtimers     2203 ms ( 87.32% of update,   0.31% of elapsed)


State change per plugin
-----------------------

                    debug        1 ms (  0.04% of update,   0.00% of elapsed)
           preserve-tombs        1 ms (  0.04% of update,   0.00% of elapsed)

                framework     2521 ms ( 99.92% of update,   0.36% of elapsed)
            all subtimers        2 ms (  0.08% of update,   0.00% of elapsed)


Lua timer details
-----------------

                  control-panel/fix/ownership      185 ms ( 43.22% of lua timers,   0.03% of elapsed)
             control-panel/fix/general-strike       56 ms ( 13.08% of lua timers,   0.01% of elapsed)
                 control-panel/fix/engravings       46 ms ( 10.75% of lua timers,   0.01% of elapsed)
         control-panel/fix/noexert-exhaustion       45 ms ( 10.51% of lua timers,   0.01% of elapsed)
              control-panel/fix/stuck-worship       22 ms (  5.14% of lua timers,   0.00% of elapsed)
         control-panel/fix/empty-wheelbarrows       17 ms (  3.97% of lua timers,   0.00% of elapsed)
                control-panel/fix/stuck-squad        5 ms (  1.17% of lua timers,   0.00% of elapsed)
          control-panel/fix/stuck-instruments        5 ms (  1.17% of lua timers,   0.00% of elapsed)
                control-panel/fix/dry-buckets        1 ms (  0.23% of lua timers,   0.00% of elapsed)

                                    framework       46 ms ( 10.75% of lua timers,   0.01% of elapsed)
                                all subtimers      382 ms ( 89.25% of lua timers,   0.05% of elapsed)


Overlay details
---------------

                             gui/notify.panel     4905 ms ( 20.41% of overlay,   0.69% of elapsed)
                 gui/civ-alert.big_red_button     3890 ms ( 16.18% of overlay,   0.55% of elapsed)
                          gui/sitemap.toolbar     1530 ms (  6.36% of overlay,   0.22% of elapsed)
                                 hotkeys.menu     1399 ms (  5.82% of overlay,   0.20% of elapsed)
                              confirm.overlay      889 ms (  3.70% of overlay,   0.13% of elapsed)
                                    sort.info      534 ms (  2.22% of overlay,   0.08% of elapsed)
                       suspendmanager.overlay      456 ms (  1.90% of overlay,   0.06% of elapsed)
                              notes.map_notes      453 ms (  1.88% of overlay,   0.06% of elapsed)
                                 dig.warmdamp      203 ms (  0.84% of overlay,   0.03% of elapsed)
                       sort.location_selector      117 ms (  0.49% of overlay,   0.02% of elapsed)
                          zone.animal_actions       91 ms (  0.38% of overlay,   0.01% of elapsed)
                          sort.elevate_barony       85 ms (  0.35% of overlay,   0.01% of elapsed)
                                   sort.world       77 ms (  0.32% of overlay,   0.01% of elapsed)
                                  sort.places       72 ms (  0.30% of overlay,   0.01% of elapsed)
                              sort.candidates       72 ms (  0.30% of overlay,   0.01% of elapsed)
                         buildingplan.planner       70 ms (  0.29% of overlay,   0.01% of elapsed)
                                    sort.slab       64 ms (  0.27% of overlay,   0.01% of elapsed)
                  buildingplan.mechanism_free       32 ms (  0.13% of overlay,   0.00% of elapsed)
                           stockpiles.overlay       27 ms (  0.11% of overlay,   0.00% of elapsed)
                        gui/design.dimensions       26 ms (  0.11% of overlay,   0.00% of elapsed)
                          dig.asciidesignated       23 ms (  0.10% of overlay,   0.00% of elapsed)
                        suspendmanager.status       15 ms (  0.06% of overlay,   0.00% of elapsed)
                         spectate.followpanel       14 ms (  0.06% of overlay,   0.00% of elapsed)
                           prioritize.enroute        9 ms (  0.04% of overlay,   0.00% of elapsed)
                        gui/design.rightclick        9 ms (  0.04% of overlay,   0.00% of elapsed)
                        suspendmanager.toggle        6 ms (  0.02% of overlay,   0.00% of elapsed)
                          dig.warmdamptoolbar        5 ms (  0.02% of overlay,   0.00% of elapsed)
                       buildingplan.inspector        4 ms (  0.02% of overlay,   0.00% of elapsed)
                     orders.skillrestrictions        2 ms (  0.01% of overlay,   0.00% of elapsed)

                                    framework     8959 ms ( 37.27% of overlay,   1.27% of elapsed)
                                all subtimers    15079 ms ( 62.73% of overlay,   2.13% of elapsed)
