Summary
-------

Measuring unpaused time only

elapsed  1319217 ms (21m 59s)
 dfhack    78222 ms (  5.93% of elapsed)


DFHack details
--------------

                     zone        7 ms (  0.14% of update,   0.00% of elapsed)
               prospector        7 ms (  0.14% of update,   0.00% of elapsed)
               changevein        7 ms (  0.14% of update,   0.00% of elapsed)
               cleanconst        6 ms (  0.12% of update,   0.00% of elapsed)
               cursecheck        6 ms (  0.12% of update,   0.00% of elapsed)
                   deramp        6 ms (  0.12% of update,   0.00% of elapsed)
                 showmood        6 ms (  0.12% of update,   0.00% of elapsed)
                getplants        6 ms (  0.12% of update,   0.00% of elapsed)
                     lair        5 ms (  0.10% of update,   0.00% of elapsed)
                   stocks        5 ms (  0.10% of update,   0.00% of elapsed)
             infinite-sky        5 ms (  0.10% of update,   0.00% of elapsed)
                    probe        5 ms (  0.10% of update,   0.00% of elapsed)
                   orders        5 ms (  0.10% of update,   0.00% of elapsed)
                 work-now        5 ms (  0.10% of update,   0.00% of elapsed)
                tiletypes        5 ms (  0.10% of update,   0.00% of elapsed)
                cxxrandom        4 ms (  0.08% of update,   0.00% of elapsed)
                  liquids        3 ms (  0.06% of update,   0.00% of elapsed)
                   design        3 ms (  0.06% of update,   0.00% of elapsed)
               forceequip        3 ms (  0.06% of update,   0.00% of elapsed)

                framework      639 ms ( 12.82% of update,   0.05% of elapsed)
            all subtimers     4344 ms ( 87.18% of update,   0.33% of elapsed)


State change per plugin
-----------------------

             autoclothing        6 ms (  0.12% of update,   0.00% of elapsed)
                 dwarfvet        1 ms (  0.02% of update,   0.00% of elapsed)
   army-controller-sanity        1 ms (  0.02% of update,   0.00% of elapsed)
                   misery        1 ms (  0.02% of update,   0.00% of elapsed)
                 showmood        1 ms (  0.02% of update,   0.00% of elapsed)
                  3dveins        1 ms (  0.02% of update,   0.00% of elapsed)
               changevein        1 ms (  0.02% of update,   0.00% of elapsed)
                    flows        1 ms (  0.02% of update,   0.00% of elapsed)
                fastdwarf        1 ms (  0.02% of update,   0.00% of elapsed)

                framework     4969 ms ( 99.72% of update,   0.38% of elapsed)
            all subtimers       14 ms (  0.28% of update,   0.00% of elapsed)


Lua timer details
-----------------

                  control-panel/fix/ownership      417 ms ( 43.17% of lua timers,   0.03% of elapsed)
             control-panel/fix/general-strike      142 ms ( 14.70% of lua timers,   0.01% of elapsed)
         control-panel/fix/noexert-exhaustion      118 ms ( 12.22% of lua timers,   0.01% of elapsed)
                 control-panel/fix/engravings       59 ms (  6.11% of lua timers,   0.00% of elapsed)
              control-panel/fix/stuck-worship       59 ms (  6.11% of lua timers,   0.00% of elapsed)
         control-panel/fix/empty-wheelbarrows       37 ms (  3.83% of lua timers,   0.00% of elapsed)
                control-panel/fix/stuck-squad       13 ms (  1.35% of lua timers,   0.00% of elapsed)
          control-panel/fix/stuck-instruments       11 ms (  1.14% of lua timers,   0.00% of elapsed)
                 control-panel/fix/dead-units        2 ms (  0.21% of lua timers,   0.00% of elapsed)
                control-panel/fix/dry-buckets        1 ms (  0.10% of lua timers,   0.00% of elapsed)

                                    framework      107 ms ( 11.08% of lua timers,   0.01% of elapsed)
                                all subtimers      859 ms ( 88.92% of lua timers,   0.07% of elapsed)


Overlay details
---------------

                             gui/notify.panel    14768 ms ( 22.87% of overlay,   1.12% of elapsed)
                                 dig.warmdamp     7422 ms ( 11.49% of overlay,   0.56% of elapsed)
                          gui/sitemap.toolbar     5348 ms (  8.28% of overlay,   0.41% of elapsed)
                 gui/civ-alert.big_red_button     4065 ms (  6.29% of overlay,   0.31% of elapsed)
                                 hotkeys.menu     3591 ms (  5.56% of overlay,   0.27% of elapsed)
                              notes.map_notes     1110 ms (  1.72% of overlay,   0.08% of elapsed)
                       suspendmanager.overlay     1047 ms (  1.62% of overlay,   0.08% of elapsed)
                                    sort.info      955 ms (  1.48% of overlay,   0.07% of elapsed)
                          dig.asciidesignated      645 ms (  1.00% of overlay,   0.05% of elapsed)
                              confirm.overlay      544 ms (  0.84% of overlay,   0.04% of elapsed)
