Summary
-------

Measuring unpaused time only

elapsed   497556 ms (8m 17s)
 dfhack    32174 ms (  6.47% of elapsed)


DFHack details
--------------

                  regrass        6 ms (  0.17% of update,   0.00% of elapsed)
               forceequip        6 ms (  0.17% of update,   0.00% of elapsed)
              changelayer        5 ms (  0.14% of update,   0.00% of elapsed)
                luasocket        5 ms (  0.14% of update,   0.00% of elapsed)
               stockpiles        5 ms (  0.14% of update,   0.00% of elapsed)
             infinite-sky        5 ms (  0.14% of update,   0.00% of elapsed)
            fix-occupancy        5 ms (  0.14% of update,   0.00% of elapsed)
               changevein        4 ms (  0.11% of update,   0.00% of elapsed)
               cursecheck        3 ms (  0.09% of update,   0.00% of elapsed)
                  hotkeys        3 ms (  0.09% of update,   0.00% of elapsed)
                  liquids        3 ms (  0.09% of update,   0.00% of elapsed)
                tiletypes        3 ms (  0.09% of update,   0.00% of elapsed)
                     zone        3 ms (  0.09% of update,   0.00% of elapsed)
                 tubefill        2 ms (  0.06% of update,   0.00% of elapsed)
                   design        2 ms (  0.06% of update,   0.00% of elapsed)
                    flows        2 ms (  0.06% of update,   0.00% of elapsed)
                getplants        1 ms (  0.03% of update,   0.00% of elapsed)
                cxxrandom        1 ms (  0.03% of update,   0.00% of elapsed)

                framework      471 ms ( 13.51% of update,   0.09% of elapsed)
            all subtimers     3016 ms ( 86.49% of update,   0.61% of elapsed)


State change per plugin
-----------------------

                   deramp        1 ms (  0.03% of update,   0.00% of elapsed)

                framework     3486 ms ( 99.97% of update,   0.70% of elapsed)
            all subtimers        1 ms (  0.03% of update,   0.00% of elapsed)


Lua timer details
-----------------

                  control-panel/fix/ownership      187 ms ( 44.00% of lua timers,   0.04% of elapsed)
             control-panel/fix/general-strike       57 ms ( 13.41% of lua timers,   0.01% of elapsed)
         control-panel/fix/noexert-exhaustion       47 ms ( 11.06% of lua timers,   0.01% of elapsed)
              control-panel/fix/stuck-worship       29 ms (  6.82% of lua timers,   0.01% of elapsed)
                 control-panel/fix/engravings       20 ms (  4.71% of lua timers,   0.00% of elapsed)
         control-panel/fix/empty-wheelbarrows       16 ms (  3.76% of lua timers,   0.00% of elapsed)
          control-panel/fix/stuck-instruments        6 ms (  1.41% of lua timers,   0.00% of elapsed)
                control-panel/fix/stuck-squad        3 ms (  0.71% of lua timers,   0.00% of elapsed)
                 control-panel/fix/dead-units        2 ms (  0.47% of lua timers,   0.00% of elapsed)
                control-panel/fix/dry-buckets        1 ms (  0.24% of lua timers,   0.00% of elapsed)

                                    framework       57 ms ( 13.41% of lua timers,   0.01% of elapsed)
                                all subtimers      368 ms ( 86.59% of lua timers,   0.07% of elapsed)


Overlay details
---------------

                 gui/civ-alert.big_red_button     4187 ms ( 16.91% of overlay,   0.84% of elapsed)
                             gui/notify.panel     2856 ms ( 11.54% of overlay,   0.57% of elapsed)
                          gui/sitemap.toolbar     1606 ms (  6.49% of overlay,   0.32% of elapsed)
                              confirm.overlay     1323 ms (  5.34% of overlay,   0.27% of elapsed)
                                 hotkeys.menu     1213 ms (  4.90% of overlay,   0.24% of elapsed)
                                  sort.places      681 ms (  2.75% of overlay,   0.14% of elapsed)
                              notes.map_notes      393 ms (  1.59% of overlay,   0.08% of elapsed)
                  buildingplan.mechanism_free      316 ms (  1.28% of overlay,   0.06% of elapsed)
                       suspendmanager.overlay      274 ms (  1.11% of overlay,   0.06% of elapsed)
                                    sort.info      191 ms (  0.77% of overlay,   0.04% of elapsed)
                          zone.animal_actions      179 ms (  0.72% of overlay,   0.04% of elapsed)
                           stockpiles.overlay      138 ms (  0.56% of overlay,   0.03% of elapsed)
                       sort.location_selector      129 ms (  0.52% of overlay,   0.03% of elapsed)
                          sort.elevate_barony      123 ms (  0.50% of overlay,   0.02% of elapsed)
                              sort.candidates      109 ms (  0.44% of overlay,   0.02% of elapsed)
                                   sort.world      108 ms (  0.44% of overlay,   0.02% of elapsed)
                                    sort.slab       92 ms (  0.37% of overlay,   0.02% of elapsed)
                         spectate.followpanel       83 ms (  0.34% of overlay,   0.02% of elapsed)
                       buildingplan.inspector       44 ms (  0.18% of overlay,   0.01% of elapsed)
                        suspendmanager.status       36 ms (  0.15% of overlay,   0.01% of elapsed)
                        gui/design.dimensions       31 ms (  0.13% of overlay,   0.01% of elapsed)
                        suspendmanager.toggle       23 ms (  0.09% of overlay,   0.00% of elapsed)
                     orders.skillrestrictions       12 ms (  0.05% of overlay,   0.00% of elapsed)
                        gui/design.rightclick        3 ms (  0.01% of overlay,   0.00% of elapsed)

                                    framework    10606 ms ( 42.84% of overlay,   2.13% of elapsed)
                                all subtimers    14150 ms ( 57.16% of overlay,   2.84% of elapsed)
